date,average_temperature,rainfall,weekend,holiday,price_per_kg,promo,demand,previous_days_demand
2021-04-27 15:34:09.114631,30.58472685635918,6.786844618818696,0,0,2.5024636658836807,1,1044.9940172482486,1044.9940172482486
2021-04-28 15:34:09.114630,15.4650686212835,9.716519954037167,0,0,1.871179701151081,1,1079.0296990216098,1044.9940172482486
2021-04-29 15:34:09.114629,10.786525222541337,1.0998357092276891,0,0,1.1491595301595114,1,1173.393596926391,1079.0296990216098
2021-04-30 15:34:09.114628,23.64815416797147,9.57813569328806,0,0,0.8914141277295204,1,1168.7803831938213,1173.393596926391
2021-05-01 15:34:09.114627,13.861390511387913,4.693826430867088,1,0,0.7377114796641835,0,1173.1543557036268,1168.7803831938213
2021-05-02 15:34:09.114626,14.674082315677506,0.7519465243805007,1,0,2.7048571215630313,0,1204.8545725191873,1173.1543557036268
2021-05-03 15:34:09.114625,20.55869234062945,2.664046186028206,0,0,1.4488503437693279,0,944.4513763176902,1204.8545725191873
2021-05-04 15:34:09.114624,25.138812487847655,0.7648360344172562,0,0,1.5716850677897682,0,981.7654027521623,944.4513763176902
2021-05-05 15:34:09.114623,22.30885280018967,0.39266433431669845,0,0,1.1907379423020263,0,1004.6530753843208,981.7654027521623
2021-05-06 15:34:09.114622,26.102976692730103,14.643975928546979,0,0,0.7775124526766133,0,1037.9943254945838,1004.6530753843208
2021-05-07 15:34:09.114621,32.82623697937525,1.6896753641896576,0,0,1.6183631953443873,0,939.0024145757509,1037.9943254945838
2021-05-08 15:34:09.114620,29.277602732211943,1.0013437241723415,1,0,0.9400835404980004,0,1238.171986272734,939.0024145757509
2021-05-09 15:34:09.114619,17.209030485013248,0.7228397675345692,1,0,2.200127642425646,0,1224.8749094700906,1238.171986272734
2021-05-10 15:34:09.114618,20.386033601349524,5.18096307612789,0,0,2.3961957150272903,0,949.8184710921555,1224.8749094700906
2021-05-11 15:34:09.114617,18.287260881604418,18.083048871241672,0,0,2.137232427746458,0,903.790255565149,949.8184710921555
2021-05-12 15:34:09.114616,19.158167368548924,12.852979601662561,0,0,2.8621230075042203,0,854.7274111791643,903.790255565149
2021-05-13 15:34:09.114615,17.804883447934753,1.3382255668450083,0,0,0.6350998402263079,0,881.1925788276108,854.7274111791643
2021-05-14 15:34:09.114614,24.511146065573193,0.028732898156119815,0,0,1.5600911811220517,0,970.3520259884484,881.1925788276108
2021-05-15 15:34:09.114613,12.823793208510217,13.965168019078018,1,0,1.3301740591498,0,1160.3961614951997,970.3520259884484
2021-05-16 15:34:09.114612,18.146871489687292,9.435933583692783,1,0,2.5777033848969846,1,1411.7236740441158,1160.3961614951997
2021-05-17 15:34:09.114611,31.31823682512207,1.3604661466773509,0,0,1.4085383178500006,1,1066.6497394041203,1411.7236740441158
